old_section_id,old_name,target_section_id,target_name,action
0KEpPRv3IWiREmT,"Fun and joy",RJSJ0X4EX0ZBD2D6S138BS3BDX,"Fun and joy",matched_existing_by_name
b92J8BsuysSECR2,Health,RN5Z9R3KVKV4SFZY5M986RPDWY,Health,matched_existing_by_name
bKEalTgCHd02979,Finance,9JKQ6HZ7E2N6TRCJHRRRCJ18SB,Finance,matched_existing_by_name
dfghrredfgvfg54,"Home Events",P5S34R7EGV35SMBYJJP7V3F7XW,"Home Events",matched_existing_by_name
fjsltinsghtlen4,"Code Informer",TQ0XVVCYEKYFG15B9T552AZBDK,"Code Informer",matched_existing_by_name
jgongisngienth3,Sport,WV9W1QZSFGNH7NS68H3RYHPJZK,Sport,matched_existing_by_name
jklYemcreiy3eXu,"Okkio Project",TCMMHEKB25D6T1VMREM50T3HJX,"Okkio Project",matched_existing_by_name
lqYC8dD8SqJh9yD,Shopping,3VEW507AZD6DQGKQDQHVTAE82G,Shopping,matched_existing_by_name
R0wRF5jInXuDNiB,Accidents,A7FEV7B7CCS68NTNQ1H1SM8W4V,Accidents,matched_existing_by_name
s_64e6a7ec6d931,"Diary notes",C22VRKWR4PA3P7TYBCRX521XGR,"Diary notes",matched_existing_by_name
s_64ee35c374dcf,Payments,ZW3HXWFF3X8Z10ANF02BDY4N72,Payments,matched_existing_by_name
s_64f62504f3ab7,"Teftele Media",82QVM7M962PVZC2ASDV8DQRHK2,"Teftele Media",matched_existing_by_name
s_64fc23655335c,"My Day",F91RJPF7QR2NS2YTRP8N2P48N0,"My Day",matched_existing_by_name
s_651756e333cb6,InfoTrash,QP4RXKMW69M40QBCRWVNP2PP42,InfoTrash,matched_existing_by_name
s_656a02fd61289,"Side jobs and tests",X06KA2WHPXM08TSHK4TN8AYXR8,"Side jobs and tests",matched_existing_by_name
s_656a176b78e92,"Teftele Service project",AWY4D9VTDTXZ2KGM66MK6TXGGZ,"Teftele Service project",matched_existing_by_name
S0n6SPv6bzuuGTp,Sport,WV9W1QZSFGNH7NS68H3RYHPJZK,Sport,matched_existing_by_name
T4OHUmAZY2NZBL3,"ARS JOB",A59GT3S93MKB77K9N1AQSF1AP1,"ARS JOB",matched_existing_by_name
V4TGoyUTAaFnEWa,Study,DY3KE7FYXJGK3Z0XRAXR50BPN2,Study,matched_existing_by_name
xraWvCrqrITZvnW,"Stuff Story",01KNSQP3W8XACC0S9BBJ1818DG,"Stuff Story",matched_existing_by_name
